Detail	Item Name	Date Scheduled	Requested Qty	Delivery	Ship to Customer	Ship to	Order	Line Status	Next Step	Exceptions	LPN	Shipped Qty	Backordered Qty	Details Required	Serial Number	Inventory Control	data	Deliver to	Org Code	Move Order Number	Move Order Line Number	[ ]	
81647341	4301795	13-FEB-2026 00:00:00	99	123459583	EATON LTDA.	72384 : RUA CLARK-2061-VALINHOS-SP-13279400-BR	5456144	Staged/Pick Confirmed	Ship Confirm/Close Trip Stop			99	0				FGI X	72384 : RUA CLARK-2061-VALINHOS-SP-13279400-BR	CAT	70716926	1	.	
81647362	4301795	13-FEB-2026 00:00:00	99	123459583	EATON LTDA.	72384 : RUA CLARK-2061-VALINHOS-SP-13279400-BR	5456144	Staged/Pick Confirmed	Ship Confirm/Close Trip Stop			99	0				FGI X	72384 : RUA CLARK-2061-VALINHOS-SP-13279400-BR	CAT	70716926	1	.	
81647363	4301795	13-FEB-2026 00:00:00	99	123459583	EATON LTDA.	72384 : RUA CLARK-2061-VALINHOS-SP-13279400-BR	5456144	Staged/Pick Confirmed	Ship Confirm/Close Trip Stop			99	0				FGI X	72384 : RUA CLARK-2061-VALINHOS-SP-13279400-BR	CAT	70716926	1	.	
81647364	4301795	13-FEB-2026 00:00:00	99	123459583	EATON LTDA.	72384 : RUA CLARK-2061-VALINHOS-SP-13279400-BR	5456144	Staged/Pick Confirmed	Ship Confirm/Close Trip Stop			99	0				FGI X	72384 : RUA CLARK-2061-VALINHOS-SP-13279400-BR	CAT	70716926	1	.	
81647365	4301795	13-FEB-2026 00:00:00	99	123459583	EATON LTDA.	72384 : RUA CLARK-2061-VALINHOS-SP-13279400-BR	5456144	Staged/Pick Confirmed	Ship Confirm/Close Trip Stop			99	0				FGI X	72384 : RUA CLARK-2061-VALINHOS-SP-13279400-BR	CAT	70716926	1	.	
81647366	4301795	13-FEB-2026 00:00:00	99	123459583	EATON LTDA.	72384 : RUA CLARK-2061-VALINHOS-SP-13279400-BR	5456144	Staged/Pick Confirmed	Ship Confirm/Close Trip Stop			99	0				FGI X	72384 : RUA CLARK-2061-VALINHOS-SP-13279400-BR	CAT	70716926	1	.	
81647367	4301795	13-FEB-2026 00:00:00	99	123459583	EATON LTDA.	72384 : RUA CLARK-2061-VALINHOS-SP-13279400-BR	5456144	Staged/Pick Confirmed	Ship Confirm/Close Trip Stop			99	0				FGI X	72384 : RUA CLARK-2061-VALINHOS-SP-13279400-BR	CAT	70716926	1	.	
81647368	4301795	13-FEB-2026 00:00:00	99	123459583	EATON LTDA.	72384 : RUA CLARK-2061-VALINHOS-SP-13279400-BR	5456144	Staged/Pick Confirmed	Ship Confirm/Close Trip Stop			99	0				FGI X	72384 : RUA CLARK-2061-VALINHOS-SP-13279400-BR	CAT	70716926	1	.	
81647369	4301795	13-FEB-2026 00:00:00	99	123459583	EATON LTDA.	72384 : RUA CLARK-2061-VALINHOS-SP-13279400-BR	5456144	Staged/Pick Confirmed	Ship Confirm/Close Trip Stop			99	0				FGI X	72384 : RUA CLARK-2061-VALINHOS-SP-13279400-BR	CAT	70716926	1	.	
81647370	4301795	13-FEB-2026 00:00:00	99	123459583	EATON LTDA.	72384 : RUA CLARK-2061-VALINHOS-SP-13279400-BR	5456144	Staged/Pick Confirmed	Ship Confirm/Close Trip Stop			99	0				FGI X	72384 : RUA CLARK-2061-VALINHOS-SP-13279400-BR	CAT	70716926	1	.	
